@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0, unlabeled}
@inputs At1, At2
@outputs Class
@data
-1.19, 1.14, -1.0
1.42, -0.0465, -1.0
-1.6, 0.632, -1.0
-0.201, 0.596, 1.0
1.14, 0.494, -1.0
-0.877, -0.401, 1.0
-0.267, -0.896, -1.0
-0.697, -1.69, -1.0
1.2, -0.68, 1.0
-0.472, 0.411, 1.0
0.373, 1.48, -1.0
0.856, 0.669, -1.0
-0.0184, -1.13, -1.0
-0.268, -1.26, -1.0
-0.254, -1.37, -1.0
-0.78, -1.52, -1.0
0.439, 1.5, -1.0
-0.322, 0.535, 1.0
-0.244, -1.2, -1.0
-0.2, 1.74, 1.0
-0.36, -1.28, -1.0
-1.74, 0.693, -1.0
0.71, 0.0529, 1.0
-0.795, -1.43, -1.0
-0.926, 0.916, -1.0
-0.178, -0.551, 1.0
0.189, 1.35, -1.0
0.918, 1.72, 1.0
0.154, 0.629, 1.0
0.041, -1.13, -1.0
-0.672, -0.601, -1.0
-0.508, -0.715, 1.0
-0.668, 0.919, -1.0
-0.656, -0.334, 1.0
0.236, 0.443, 1.0
-0.413, 1.17, -1.0
-1.81, -1.21, 1.0
0.978, -1.33, 1.0
-0.678, -1.32, -1.0
-0.254, 0.403, 1.0
-0.234, -0.974, -1.0
-1.59, 0.763, -1.0
-0.265, 1.28, -1.0
-1.54, -0.643, 1.0
-0.796, -1.63, -1.0
-0.103, -1.71, -1.0
0.842, -1.41, 1.0
0.0608, -1.23, -1.0
0.0285, 1.72, 1.0
0.251, 0.171, 1.0
0.19, 0.969, 1.0
-1.56, -1.05, 1.0
1.96, 1.28, 1.0
-1.07, -0.622, 1.0
-1.36, -0.258, 1.0
1.21, 1.28, -1.0
0.545, 1.28, -1.0
0.523, -1.38, -1.0
1.26, 1.72, -1.0
0.569, 1.44, -1.0
0.818, 0.845, -1.0
0.309, -0.175, 1.0
-0.812, -0.411, 1.0
-0.241, 0.897, 1.0
0.299, -0.819, -1.0
0.388, 0.863, -1.0
0.642, 1.65, 1.0
1.82, -0.643, -1.0
-0.106, -1.14, -1.0
0.494, -1.01, -1.0
-1.6, -0.0414, 1.0
1.63, 0.0545, -1.0
-1.04, 1.13, -1.0
-1.3, -0.811, 1.0
-0.472, -1.16, -1.0
0.955, 0.142, 1.0
-0.0439, 0.305, 1.0
0.912, -0.114, -1.0
0.369, 1.69, -1.0
-0.777, -1.33, -1.0
0.196, -0.779, -1.0
0.25, 0.466, 1.0
-0.876, 0.92, -1.0
1.5, 1.5, 1.0
-0.987, -0.814, 1.0
-0.108, -1.3, -1.0
-0.0908, -0.846, -1.0
0.69, 0.745, -1.0
-1.7, -0.087, -1.0
-0.131, 1.76, 1.0
-0.337, 1.48, -1.0
-0.659, -1.27, -1.0
0.854, -0.827, 1.0
1.08, 0.148, 1.0
1.4, 0.377, -1.0
-0.347, 0.574, 1.0
1.0, -0.0897, -1.0
-0.77, 0.637, -1.0
-0.0434, -0.442, 1.0
1.1, 0.458, -1.0
-0.623, 1.24, -1.0
-1.53, 0.795, -1.0
1.0, -0.0347, -1.0
-0.639, 1.25, -1.0
-1.82, 0.904, -1.0
0.633, 0.901, -1.0
-0.558, -1.73, -1.0
1.89, -0.243, -1.0
-0.434, -1.1, -1.0
-0.957, 1.0, -1.0
1.57, 1.43, 1.0
0.842, -0.372, 1.0
0.272, 1.82, 1.0
1.23, -1.4, 1.0
1.19, -0.278, -1.0
0.913, -0.374, 1.0
2.03, -0.427, -1.0
1.24, 0.273, -1.0
0.108, -0.769, -1.0
1.21, 0.752, -1.0
-0.0273, 0.739, 1.0
0.0431, -0.0199, 1.0
-0.937, -0.086, 1.0
-1.24, 1.0, -1.0
0.834, -0.177, 1.0
-0.105, -0.442, 1.0
-0.762, -1.11, -1.0
0.546, -0.195, 1.0
0.919, 0.798, -1.0
-0.411, 0.727, 1.0
-0.949, 1.0, -1.0
0.216, -1.12, -1.0
-1.42, 0.83, -1.0
-0.813, -0.665, 1.0
1.31, 1.07, -1.0
-0.975, 0.725, -1.0
-0.00835, 1.76, -1.0
0.458, -0.709, 1.0
1.55, -0.00546, -1.0
-1.53, -1.21, 1.0
0.0853, 0.789, 1.0
-0.758, 0.794, -1.0
0.171, -0.502, 1.0
-1.38, -1.11, 1.0
1.07, 0.668, -1.0
0.196, 1.76, -1.0
0.137, 1.94, 1.0
0.753, 1.89, 1.0
-1.13, -1.08, 1.0
1.08, 1.37, 1.0
0.132, -1.49, -1.0
0.0725, 0.596, 1.0
-0.497, 1.07, -1.0
-0.614, -1.43, -1.0
0.722, 0.153, -1.0
0.571, -1.53, -1.0
-0.395, -0.756, -1.0
0.0967, -1.4, -1.0
-0.631, -0.914, -1.0
0.225, 1.34, -1.0
-0.0314, -1.01, -1.0
1.21, -1.24, 1.0
-1.31, -0.903, -1.0
-0.353, 1.98, 1.0
-0.249, 0.505, 1.0
0.374, 0.966, -1.0
0.0284, 1.62, -1.0
-1.01, -1.29, -1.0
0.322, 1.68, 1.0
1.77, 0.239, -1.0
0.318, 1.82, 1.0
-1.33, -0.276, 1.0
0.867, -1.19, 1.0
-1.81, -0.543, 1.0
-2.98, -0.16, -1.0
-0.93, -0.895, -1.0
-1.4, 0.98, -1.0
1.22, -0.159, -1.0
-0.206, -0.474, 1.0
-0.0882, 1.17, -1.0
0.387, 1.71, -1.0
-0.619, -0.748, -1.0
0.44, 0.246, 1.0
0.0403, -1.51, -1.0
-0.982, -1.08, -1.0
-0.823, 0.729, -1.0
-1.7, 0.872, -1.0
1.27, -0.159, -1.0
-0.0242, -0.659, 1.0
1.71, -0.225, -1.0
-1.33, -0.392, 1.0
-0.135, -1.1, -1.0
-0.0652, 0.631, 1.0
1.57, 0.171, -1.0
-1.69, -1.27, 1.0
-1.63, -1.32, 1.0
-0.912, -0.484, 1.0
-0.502, -1.04, -1.0
0.183, -1.16, -1.0
1.83, 0.452, -1.0
-0.889, -0.884, -1.0
1.35, -0.25, -1.0
0.523, 1.05, -1.0
0.101, -1.39, -1.0
-0.223, 1.04, -1.0
-1.59, -0.766, 1.0
1.66, -0.384, -1.0
1.02, 0.858, -1.0
-1.39, 0.862, -1.0
-1.24, 0.323, 1.0
0.976, 1.24, -1.0
0.133, 2.04, 1.0
0.97, 1.15, -1.0
-0.855, -1.05, -1.0
-1.0, -1.22, -1.0
-0.592, -1.17, -1.0
-1.44, -0.775, 1.0
-0.892, 1.02, -1.0
0.641, 1.72, 1.0
1.71, 1.39, 1.0
0.622, -0.546, 1.0
-0.213, 0.259, 1.0
0.894, -0.742, 1.0
0.345, -0.891, -1.0
-0.917, -0.863, -1.0
-0.326, 0.168, 1.0
-0.0657, -1.19, -1.0
0.0941, 1.44, -1.0
1.39, -0.631, 1.0
1.05, 0.768, -1.0
-0.705, 0.129, 1.0
0.655, 1.72, 1.0
1.11, 1.33, 1.0
0.876, -0.807, 1.0
1.1, -0.695, 1.0
2.6, 0.951, 1.0
0.673, 0.172, 1.0
0.801, 1.14, -1.0
-0.282, 1.78, 1.0
-0.803, -1.21, -1.0
-0.402, -1.11, -1.0
1.48, -1.05, 1.0
0.826, 1.42, -1.0
0.527, -0.251, 1.0
2.36, 1.33, 1.0
1.8, 1.53, 1.0
-0.179, -0.0492, 1.0
-0.443, 1.86, -1.0
-0.582, -0.587, 1.0
1.23, -0.0997, -1.0
-0.68, 0.314, 1.0
-0.121, -0.498, 1.0
-0.922, 0.533, -1.0
0.0949, -0.854, 1.0
0.812, 0.708, -1.0
0.44, -0.936, -1.0
1.07, 0.457, -1.0
-0.298, -1.16, -1.0
0.441, -1.13, -1.0
1.3, 0.739, -1.0
1.81, -0.551, -1.0
1.02, -0.351, 1.0
0.0893, -1.1, -1.0
-1.25, -0.656, 1.0
0.82, -0.514, 1.0
-0.304, 1.5, -1.0
1.23, -0.615, 1.0
-0.568, -0.873, -1.0
-1.87, -1.32, 1.0
1.28, 0.902, -1.0
-0.342, -1.31, -1.0
1.07, -0.0433, -1.0
-0.792, -0.132, 1.0
0.264, -0.605, 1.0
-1.85, -0.467, 1.0
1.22, -0.607, 1.0
-1.35, -1.19, 1.0
-0.104, -1.15, -1.0
0.995, -1.63, 1.0
0.563, 0.661, -1.0
1.37, 0.219, -1.0
-1.87, -1.1, 1.0
1.33, 1.42, 1.0
1.03, -0.191, -1.0
-0.814, 0.23, 1.0
0.217, -1.21, -1.0
0.482, -0.653, 1.0
-0.076, -1.12, -1.0
0.768, -0.917, 1.0
1.22, 0.834, -1.0
0.0817, 0.418, 1.0
0.782, -0.139, 1.0
1.19, 0.309, -1.0
0.422, 2.33, -1.0
-0.89, -1.17, -1.0
-0.0958, -1.66, -1.0
-0.701, 1.17, -1.0
-1.11, 0.276, 1.0
0.675, -1.53, -1.0
-0.642, -1.35, -1.0
1.19, 0.19, -1.0
0.113, 0.462, 1.0
0.854, -0.537, 1.0
0.283, 0.394, 1.0
-1.41, -0.856, 1.0
1.99, 1.18, 1.0
-1.37, 0.928, -1.0
-0.813, -1.23, -1.0
0.136, -1.49, -1.0
0.642, 0.909, -1.0
-1.75, -1.27, 1.0
1.41, 0.83, -1.0
-0.0269, 0.958, 1.0
0.948, 0.985, -1.0
0.921, 0.3, -1.0
-1.18, -0.0978, 1.0
0.284, 2.31, -1.0
0.0317, -0.821, 1.0
0.82, 1.83, -1.0
-0.162, -1.24, -1.0
0.529, 1.62, -1.0
-0.795, 0.276, 1.0
0.385, -0.744, -1.0
1.55, -0.466, -1.0
1.25, -0.35, -1.0
0.202, -1.37, -1.0
0.168, -1.06, -1.0
0.11, 0.553, 1.0
-1.07, 0.534, 1.0
-1.67, -0.212, 1.0
0.834, 0.925, -1.0
-1.71, -1.29, 1.0
0.617, 1.11, -1.0
0.837, 1.75, 1.0
0.109, -0.522, 1.0
-0.59, -0.328, 1.0
0.931, 0.783, -1.0
0.596, -0.172, 1.0
0.415, 1.8, -1.0
1.09, 0.812, -1.0
-0.181, -1.1, -1.0
-1.2, -0.826, 1.0
-0.436, 1.86, -1.0
-0.149, -0.0185, 1.0
-0.291, -0.858, -1.0
1.19, 0.554, -1.0
0.986, 0.843, -1.0
-0.558, 0.572, 1.0
-0.879, -0.975, -1.0
-1.29, -0.23, 1.0
-0.791, -1.44, -1.0
-0.305, 1.18, -1.0
-0.736, -1.14, -1.0
0.127, 1.94, -1.0
-0.0198, -1.22, -1.0
0.786, 0.945, -1.0
-0.57, 0.502, 1.0
-0.639, 0.522, 1.0
2.12, 0.978, unlabeled
-0.0744, -0.463, unlabeled
-0.704, 1.46, unlabeled
-0.335, -0.81, unlabeled
0.587, -0.311, unlabeled
-1.52, 0.246, unlabeled
-1.78, -1.58, unlabeled
0.586, -0.273, unlabeled
-0.187, -1.38, unlabeled
0.253, -1.3, unlabeled
-1.55, -0.663, unlabeled
1.28, -0.176, unlabeled
-0.516, 1.46, unlabeled
1.28, -0.588, unlabeled
-1.51, -0.248, unlabeled
-0.203, -1.08, unlabeled
-0.249, 0.0234, unlabeled
-1.57, 0.905, unlabeled
0.344, 1.49, unlabeled
1.07, -1.38, unlabeled
1.13, 1.38, unlabeled
-0.124, -1.27, unlabeled
1.18, 1.36, unlabeled
-0.305, 0.194, unlabeled
-0.974, 1.05, unlabeled
2.68, 1.17, unlabeled
-0.276, -1.19, unlabeled
0.616, 1.77, unlabeled
1.93, 1.41, unlabeled
1.39, -1.11, unlabeled
0.934, 0.258, unlabeled
-1.53, -0.665, unlabeled
0.764, 0.469, unlabeled
-0.636, -0.988, unlabeled
-0.752, -0.319, unlabeled
0.388, 1.72, unlabeled
1.05, 0.651, unlabeled
-0.279, -1.06, unlabeled
-0.794, 1.24, unlabeled
1.52, 0.409, unlabeled
0.407, 1.67, unlabeled
-0.75, 1.14, unlabeled
0.912, 2.1, unlabeled
1.14, -1.57, unlabeled
-0.726, -1.17, unlabeled
0.244, -0.69, unlabeled
-1.78, -0.687, unlabeled
1.62, -1.16, unlabeled
-1.08, 0.72, unlabeled
1.56, -0.367, unlabeled
-0.184, -0.751, unlabeled
-0.243, 1.76, unlabeled
-1.34, -0.31, unlabeled
-2.06, 0.392, unlabeled
0.801, -0.639, unlabeled
-0.577, 0.206, unlabeled
1.55, 1.1, unlabeled
-0.93, -0.502, unlabeled
0.229, 1.63, unlabeled
-1.77, 1.01, unlabeled
-0.67, -0.55, unlabeled
1.35, -0.518, unlabeled
-0.0583, -1.15, unlabeled
1.22, 0.541, unlabeled
1.35, -1.51, unlabeled
0.74, 1.53, unlabeled
0.165, -0.405, unlabeled
-0.89, -1.18, unlabeled
-0.223, -1.28, unlabeled
1.73, 1.68, unlabeled
1.46, -0.14, unlabeled
0.713, 2.04, unlabeled
0.162, -0.791, unlabeled
0.617, -0.585, unlabeled
0.281, 0.343, unlabeled
0.405, -0.555, unlabeled
-0.245, -1.18, unlabeled
0.81, 1.93, unlabeled
0.903, -1.17, unlabeled
-0.964, -1.17, unlabeled
1.14, -0.0829, unlabeled
-1.62, -0.712, unlabeled
-1.5, -0.829, unlabeled
-0.741, 0.979, unlabeled
0.16, -1.4, unlabeled
-0.754, 1.1, unlabeled
0.34, -1.34, unlabeled
0.339, 0.881, unlabeled
1.18, -0.917, unlabeled
0.507, 1.02, unlabeled
0.839, -1.15, unlabeled
-0.468, -1.17, unlabeled
-0.97, -1.6, unlabeled
-0.307, 0.938, unlabeled
0.101, 0.881, unlabeled
1.28, -0.341, unlabeled
1.68, 0.113, unlabeled
1.3, 0.196, unlabeled
-0.903, -0.988, unlabeled
0.12, -1.12, unlabeled
-0.0999, 1.97, unlabeled
-0.674, -0.62, unlabeled
0.269, 1.62, unlabeled
0.308, 0.933, unlabeled
-0.699, 0.755, unlabeled
1.04, -1.13, unlabeled
0.301, -1.17, unlabeled
0.753, 0.781, unlabeled
-0.899, -1.25, unlabeled
-0.383, 0.671, unlabeled
0.554, -0.454, unlabeled
0.125, 2.16, unlabeled
-1.64, -1.27, unlabeled
1.59, -0.522, unlabeled
-0.0656, 1.24, unlabeled
-0.152, -0.669, unlabeled
-0.779, 1.09, unlabeled
-1.51, -0.593, unlabeled
-0.113, 2.13, unlabeled
0.942, 1.83, unlabeled
1.71, -0.424, unlabeled
-1.32, 1.1, unlabeled
-0.861, -0.972, unlabeled
0.561, 1.74, unlabeled
-0.606, -0.129, unlabeled
1.02, 0.44, unlabeled
-0.819, -0.943, unlabeled
0.614, 0.908, unlabeled
0.229, 0.613, unlabeled
0.823, -1.21, unlabeled
-0.356, -0.0513, unlabeled
0.812, -0.15, unlabeled
0.247, -0.9, unlabeled
0.883, 0.106, unlabeled
1.21, 0.0512, unlabeled
1.3, 0.186, unlabeled
-1.33, -0.0457, unlabeled
1.38, 0.131, unlabeled
-0.452, -0.717, unlabeled
-0.699, -0.359, unlabeled
1.85, 1.38, unlabeled
-0.231, -0.75, unlabeled
0.764, 1.98, unlabeled
-0.779, -1.2, unlabeled
-0.247, 0.775, unlabeled
-0.138, 0.425, unlabeled
-0.102, 1.57, unlabeled
0.109, 1.65, unlabeled
-0.0723, -0.428, unlabeled
1.25, -0.00263, unlabeled
-0.238, 1.74, unlabeled
-0.882, -0.726, unlabeled
-0.516, -0.935, unlabeled
0.657, 1.05, unlabeled
-0.936, 1.81, unlabeled
-1.37, -0.803, unlabeled
-0.347, -1.15, unlabeled
-1.59, 0.176, unlabeled
-0.494, -0.719, unlabeled
1.03, -0.0835, unlabeled
-0.153, -1.2, unlabeled
1.18, -0.0513, unlabeled
1.27, 0.301, unlabeled
-0.598, -1.38, unlabeled
0.222, 0.214, unlabeled
-0.0508, -1.19, unlabeled
-0.341, 0.169, unlabeled
-0.232, -0.364, unlabeled
1.07, 1.53, unlabeled
-1.3, 0.577, unlabeled
-0.617, -1.02, unlabeled
1.43, 0.484, unlabeled
0.72, -0.154, unlabeled
0.37, 1.03, unlabeled
-1.02, -1.01, unlabeled
-0.76, -1.26, unlabeled
-1.37, 0.808, unlabeled
-0.219, -0.195, unlabeled
0.893, 0.691, unlabeled
0.592, 0.973, unlabeled
-0.0339, -1.66, unlabeled
-1.08, 1.31, unlabeled
-1.02, 1.53, unlabeled
1.23, -1.55, unlabeled
-0.606, 3.19, unlabeled
-1.06, 1.03, unlabeled
1.62, -0.919, unlabeled
-1.19, -0.774, unlabeled
1.04, 0.563, unlabeled
-1.19, 1.01, unlabeled
0.477, -1.24, unlabeled
-1.66, -1.52, unlabeled
-1.59, 0.138, unlabeled
0.13, 1.41, unlabeled
1.32, 0.0928, unlabeled
1.1, -1.17, unlabeled
-1.12, 0.576, unlabeled
-0.664, 1.18, unlabeled
-1.51, -0.966, unlabeled
1.36, 0.86, unlabeled
0.0329, 1.88, unlabeled
-0.0527, -0.746, unlabeled
-1.04, 1.33, unlabeled
-0.927, -0.406, unlabeled
0.534, 2.15, unlabeled
1.52, -1.34, unlabeled
-1.21, -1.22, unlabeled
1.13, 0.405, unlabeled
1.22, -0.361, unlabeled
0.066, -1.23, unlabeled
-0.617, -0.458, unlabeled
-0.516, -0.915, unlabeled
-0.709, -0.942, unlabeled
1.2, -0.598, unlabeled
-1.62, -1.16, unlabeled
-0.00626, -0.959, unlabeled
-0.494, -1.22, unlabeled
-0.0776, -1.35, unlabeled
1.15, 1.68, unlabeled
-0.0275, -1.42, unlabeled
-0.208, -0.646, unlabeled
1.01, 0.257, unlabeled
0.501, 0.0251, unlabeled
-0.256, 1.52, unlabeled
0.126, -0.865, unlabeled
0.983, 0.611, unlabeled
1.46, -1.61, unlabeled
-0.006, -0.32, unlabeled
-0.959, 0.41, unlabeled
0.0386, -1.26, unlabeled
-0.547, 1.71, unlabeled
1.49, -0.156, unlabeled
-0.295, -1.27, unlabeled
0.557, -0.255, unlabeled
-0.856, -0.664, unlabeled
-0.0264, -0.952, unlabeled
0.648, 1.41, unlabeled
-0.411, -1.34, unlabeled
-0.529, 0.365, unlabeled
-0.109, -1.07, unlabeled
-1.57, -0.561, unlabeled
-0.751, -1.37, unlabeled
0.844, 1.22, unlabeled
1.23, -0.115, unlabeled
-0.665, 0.357, unlabeled
-0.0169, -0.939, unlabeled
1.39, 1.52, unlabeled
-1.92, -1.06, unlabeled
0.511, -0.773, unlabeled
-1.14, -0.927, unlabeled
-1.29, 0.891, unlabeled
0.204, -1.06, unlabeled
-0.717, 0.455, unlabeled
0.714, -1.08, unlabeled
0.751, 0.608, unlabeled
-1.48, 0.74, unlabeled
1.27, -0.441, unlabeled
-0.851, 0.681, unlabeled
1.01, 0.397, unlabeled
-0.501, 1.1, unlabeled
0.55, 0.857, unlabeled
-1.06, 0.665, unlabeled
-0.0187, -1.55, unlabeled
0.322, -1.04, unlabeled
-1.34, -0.419, unlabeled
0.424, 0.471, unlabeled
-0.175, -0.946, unlabeled
-0.135, -1.12, unlabeled
-2.25, 0.167, unlabeled
-0.239, -1.17, unlabeled
-0.7, -1.25, unlabeled
-0.317, 1.77, unlabeled
-1.67, -1.5, unlabeled
1.45, 1.33, unlabeled
0.871, 1.29, unlabeled
-0.048, -1.06, unlabeled
1.7, -0.489, unlabeled
0.91, 0.864, unlabeled
-2.15, -0.858, unlabeled
-0.806, 0.575, unlabeled
0.569, -0.858, unlabeled
-1.55, 0.386, unlabeled
-0.798, -1.21, unlabeled
1.15, 1.49, unlabeled
0.486, 0.245, unlabeled
-1.54, -0.618, unlabeled
0.709, 0.872, unlabeled
-0.515, 0.625, unlabeled
-1.04, 1.19, unlabeled
-0.29, 0.7, unlabeled
-0.897, -0.972, unlabeled
1.12, -1.22, unlabeled
-1.9, 0.106, unlabeled
0.0605, 2.06, unlabeled
0.863, 0.765, unlabeled
-0.864, -1.56, unlabeled
1.03, -1.12, unlabeled
-2.07, 0.0318, unlabeled
-0.865, -1.1, unlabeled
-0.749, 0.0101, unlabeled
-0.364, 1.7, unlabeled
-0.00515, 1.75, unlabeled
1.62, 0.0564, unlabeled
0.908, -0.506, unlabeled
0.428, -0.494, unlabeled
0.894, -0.992, unlabeled
0.07, 1.7, unlabeled
-1.18, 0.422, unlabeled
0.632, 1.45, unlabeled
-1.04, -0.0359, unlabeled
1.18, -0.277, unlabeled
1.05, -0.467, unlabeled
0.857, 0.875, unlabeled
-1.31, 0.175, unlabeled
0.7, 1.14, unlabeled
0.165, -1.58, unlabeled
0.883, 0.598, unlabeled
-0.183, 1.15, unlabeled
0.646, 0.778, unlabeled
-0.232, -0.843, unlabeled
0.521, 0.375, unlabeled
-0.132, -1.35, unlabeled
-0.234, -0.656, unlabeled
0.586, 0.402, unlabeled
-0.433, -1.13, unlabeled
0.271, 0.38, unlabeled
0.3, -1.18, unlabeled
-0.599, 1.44, unlabeled
-0.0696, -0.896, unlabeled
0.928, -0.102, unlabeled
-0.139, -1.27, unlabeled
1.98, 0.417, unlabeled
1.17, -0.567, unlabeled
-1.2, 0.4, unlabeled
-0.123, 1.86, unlabeled
2.44, 1.37, unlabeled
0.305, 1.63, unlabeled
1.01, -0.205, unlabeled
2.35, 1.14, unlabeled
-0.411, -1.41, unlabeled
1.51, -1.15, unlabeled
0.213, -0.752, unlabeled
1.32, 0.376, unlabeled
0.355, 0.562, unlabeled
-0.64, -0.939, unlabeled
1.8, 1.32, unlabeled
-0.116, 1.26, unlabeled
0.983, -1.31, unlabeled
0.22, -1.36, unlabeled
0.372, 1.6, unlabeled
-1.18, 0.732, unlabeled
0.689, -0.506, unlabeled
0.671, 0.181, unlabeled
1.13, 1.07, unlabeled
-1.41, -1.02, unlabeled
0.811, 1.07, unlabeled
1.68, -0.32, unlabeled
-0.753, -0.321, unlabeled
-0.824, -0.471, unlabeled
-0.26, 1.36, unlabeled
-0.866, 0.751, unlabeled
-0.114, -1.5, unlabeled
0.88, 0.275, unlabeled
0.739, 0.139, unlabeled
-0.527, 0.887, unlabeled
0.763, 0.921, unlabeled
0.133, 2.05, unlabeled
1.19, 0.812, unlabeled
0.838, 0.603, unlabeled
-0.137, 1.44, unlabeled
-0.437, -0.789, unlabeled
0.926, -1.17, unlabeled
-0.27, -1.28, unlabeled
-0.287, -0.726, unlabeled
0.258, -0.85, unlabeled
-0.294, -1.54, unlabeled
0.99, 1.02, unlabeled
-0.142, 1.65, unlabeled
0.209, 0.755, unlabeled
0.0526, -1.31, unlabeled
-0.211, -0.637, unlabeled
-0.515, 0.976, unlabeled
0.112, 0.0285, unlabeled
1.54, -0.336, unlabeled
1.26, -1.37, unlabeled
1.36, -0.732, unlabeled
1.38, 0.698, unlabeled
1.66, 1.3, unlabeled
-0.391, 0.181, unlabeled
-0.241, 0.774, unlabeled
0.271, 0.0595, unlabeled
0.886, -0.292, unlabeled
1.01, 1.82, unlabeled
-0.218, -1.05, unlabeled
1.62, 1.19, unlabeled
-1.22, -0.68, unlabeled
-0.638, 1.32, unlabeled
-1.45, -0.203, unlabeled
-0.899, -1.38, unlabeled
-1.13, -0.622, unlabeled
-0.835, -1.06, unlabeled
0.0243, -0.719, unlabeled
-0.253, -0.809, unlabeled
-1.13, -0.0634, unlabeled
0.762, -0.334, unlabeled
0.39, 1.27, unlabeled
1.88, -0.289, unlabeled
-0.486, -1.53, unlabeled
0.2, -0.609, unlabeled
0.016, -1.13, unlabeled
-1.55, -1.47, unlabeled
-0.0199, -1.32, unlabeled
-0.412, -0.689, unlabeled
-0.91, -0.607, unlabeled
-0.435, -1.08, unlabeled
-0.0683, -0.404, unlabeled
-0.885, 1.05, unlabeled
0.272, -1.12, unlabeled
-2.17, -0.523, unlabeled
1.48, 1.78, unlabeled
-0.676, 0.797, unlabeled
0.143, 0.263, unlabeled
1.35, 1.21, unlabeled
0.538, -1.39, unlabeled
0.265, 1.4, unlabeled
-0.825, 0.481, unlabeled
-0.235, 0.352, unlabeled
0.952, 0.616, unlabeled
-0.968, -0.226, unlabeled
-0.119, -0.842, unlabeled
-1.95, -0.9, unlabeled
0.0273, -0.683, unlabeled
2.69, 1.12, unlabeled
1.03, 0.805, unlabeled
0.299, 1.56, unlabeled
-0.298, -0.243, unlabeled
-1.67, 0.809, unlabeled
1.03, -0.805, unlabeled
0.31, 0.57, unlabeled
0.758, -1.45, unlabeled
